,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
93,honduras,হন্ডুরাস,392,24,7,0,1,10,2020-04-12 06:26:20,14.823818,-86.597542,world
94,taiwan,তাইওয়ান,385,6,99,19,1,5,2020-04-12 06:26:20,23.748992,120.971281,world
95,runion,রিইউনিয়ন,382,0,40,0,0,6,2020-04-12 06:26:20,-21.13318634033203,55.53244400024414,world
96,jordan,জর্ডন,381,7,177,7,0,9,2020-04-12 06:26:20,31.248191,36.788103,world
97,ghana,ঘানা,378,6,34,0,0,0,2020-04-12 06:26:20,7.960673809051514,-1.2076109647750854,world
98,malta,মল্টা,370,3,16,0,1,33,2020-04-12 06:26:20,35.89055633544922,14.439536094665527,world
99,sanmarino,সান মারিনো,356,35,53,3,1,12,2020-04-12 06:26:20,43.938133239746094,12.463393211364746,world
100,kyrgyzstan,কিরগিজস্তান,339,5,44,14,1,59,2020-04-12 06:26:20,41.46426773071289,74.55564880371094,world
101,mauritius,মরিশাস,319,9,28,5,0,1,2020-04-12 06:26:20,-20.28355598449707,57.571815490722656,world
102,nigeria,নাইজেরিয়া,318,10,70,19,3,30,2020-04-12 06:26:20,9.585453987121582,8.093578338623047,world
103,kosovo,কসোভো ,283,7,58,6,0,33,2020-04-12 06:26:20,42.581485748291016,20.89157485961914,world
104,senegal,সেনেগাল,278,2,137,14,0,28,2020-04-12 06:26:20,14.359614372253418,-14.468459129333496,world
105,bolivia,বলিভিয়া,275,20,2,0,2,11,2020-04-12 06:26:20,-16.714647,-64.657794,world
