,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
57,bangladesh,বাংলাদেশ,1838,75,58,0,15,266,2020-04-18 07:18:02,23.80488395690918,90.27921295166016,world
58,croatia,ক্রোয়েশিয়া,1814,36,600,127,2,73,2020-04-18 07:18:02,45.14006805419922,16.427303314208984,world
59,hungary,হাঙ্গেরি,1763,0,0,0,0,0,2020-04-18 07:18:02,47.165191650390625,19.412044525146484,world
60,iceland,আইসল্যান্ড,1754,9,1224,80,1,15,2020-04-18 07:18:02,64.983642578125,-18.577098846435547,world
61,bahrain,বাহরাইন,1744,7,726,23,0,44,2020-04-18 07:18:02,26.08924674987793,50.562774658203125,world
62,kuwait,কুয়েত,1658,5,258,33,2,134,2020-04-18 07:18:02,29.33588218688965,47.59549331665039,world
63,kazakhstan,কাজাখস্তান,1546,17,347,107,1,205,2020-04-18 07:18:02,48.16010665893555,67.26608276367188,world
64,iraq,ইরাক,1482,81,906,94,2,67,2020-04-18 07:18:02,33.044429779052734,43.775184631347656,world
65,estonia,এসটোনিয়া,1459,38,145,28,3,59,2020-04-18 07:18:02,58.68367004394531,25.838701248168945,world
66,uzbekistan,উজবেকিস্তান,1450,4,156,27,0,70,2020-04-18 07:18:02,41.763492584228516,63.15152359008789,world
67,newzealand,নিউজিল্যান্ড,1422,11,867,51,0,21,2020-04-18 07:18:02,-43.947635650634766,170.50286865234375,world
68,azerbaijan,আজারবাইজান,1340,15,528,68,0,57,2020-04-18 07:18:02,40.359642028808594,47.652400970458984,world
69,slovenia,স্লোভেনিয়া,1305,66,174,0,5,36,2020-04-18 07:18:02,46.11955642700195,14.821760177612305,world
70,bosniaandherzegovina,বসনিয়া অ্যান্ড হার্জেগোভিনা,1212,46,322,45,2,45,2020-04-18 07:18:02,44.16825485229492,17.785249710083008,world
71,armenia,আর্মেনিয়া,1201,19,402,44,1,42,2020-04-18 07:18:02,40.29264450073242,44.939476013183594,world
72,lithuania,লিথুয়ানিয়া,1149,32,210,32,2,21,2020-04-18 07:18:02,55.337310791015625,23.883544921875,world
73,northmacedonia,উত্তর ম্যাসেডোনিয়া,1117,49,139,18,3,36,2020-04-18 07:18:02,41.6004638671875,21.700889587402344,world
74,oman,ওমান,1069,5,176,0,1,50,2020-04-18 07:18:02,20.56961441040039,56.09807586669922,world
75,puertorico,পুয়ের্তো রিকো,1068,58,0,0,2,25,2020-04-18 07:18:02,18.22506332397461,-66.47891235351562,world
76,slovakia,স্লোভাকিয়া,1049,9,175,24,1,72,2020-04-18 07:18:02,48.70748519897461,19.48487663269043,world
77,hongkong,হংকং এসএআর,1022,4,533,48,0,4,2020-04-18 07:18:02,22.333080291748047,114.19122314453125,world
78,cameroon,ক্যামেরুন,1017,22,168,0,5,95,2020-04-18 07:18:02,5.697135925292969,12.74233627319336,world
79,cuba,কিউবা,923,31,192,41,7,109,2020-04-18 07:18:02,21.610517501831055,-78.96027374267578,world
80,afghanistan,আফগানিস্তান,906,30,99,55,1,122,2020-04-18 07:18:02,33.831138610839844,66.02471160888672,world
81,bulgaria,বুলগেরিয়া,865,41,153,31,3,65,2020-04-18 07:18:02,42.75708770751953,25.23870277404785,world
82,tunisia,তিউনিসিয়া,864,37,43,0,0,42,2020-04-18 07:18:02,34.114463806152344,9.57198715209961,world
83,cyprus,সাইপ্রাস,750,12,84,19,0,45,2020-04-18 07:18:02,34.91740798950195,32.95891189575195,world
84,ctedivoire,আইভরি কোস্ট,742,6,220,74,0,88,2020-04-18 07:18:02,7.622841835021973,-5.552559852600098,world
85,djibouti,জিবুতি,732,2,76,5,0,297,2020-04-18 07:18:02,11.73109245300293,42.579105377197266,world
86,andorra,আন্ডোরা,696,35,191,22,2,23,2020-04-18 07:18:02,42.54530334472656,1.5762859582901,world
87,latvia,লাটভিয়া,682,5,88,31,0,7,2020-04-18 07:18:02,56.853981018066406,24.927459716796875,world
88,lebanon,লেবানন,668,21,86,1,0,5,2020-04-18 07:18:02,33.927734375,35.73728561401367,world
89,costarica,কোস্টা রিকা,649,0,0,0,0,7,2020-04-18 07:18:02,9.974835395812988,-84.19385528564453,world
90,ghana,ঘানা,641,8,83,0,0,0,2020-04-18 07:18:02,7.960673809051514,-1.2076109647750854,world
91,niger,নাইজার,627,18,110,13,4,43,2020-04-18 07:18:02,17.420581817626953,9.400392532348633,world
92,burkinafaso,বুরকিনা ফাসো,557,35,294,68,3,15,2020-04-18 07:18:02,12.28544807434082,-1.7441790103912354,world
93,albania,আলবেনিয়া,539,26,283,6,0,21,2020-04-18 07:18:02,41.139286041259766,20.064313888549805,world
94,uruguay,উরুগুয়ে,539,10,294,8,1,0,2020-04-18 07:18:02,-32.9697380065918,-56.05606460571289,world
95,nigeria,নাইজেরিয়া,493,17,159,31,5,86,2020-04-18 07:18:02,9.585453987121582,8.093578338623047,world
96,bolivia,বলিভিয়া,493,29,14,0,0,0,2020-04-18 07:18:02,-16.71464729309082,-64.65779113769531,world
97,kyrgyzstan,কিরগিজস্তান,489,5,114,36,0,40,2020-04-18 07:18:02,41.46426773071289,74.55564880371094,world
98,kosovo,কসোভো ,480,12,84,13,3,57,2020-04-18 07:18:02,42.581485748291016,20.89157485961914,world
99,guinea,গিনি,477,3,59,28,2,73,2020-04-18 07:18:02,10.437061309814453,-10.934968948364258,world
100,honduras,হন্ডুরাস,457,35,7,0,0,0,2020-04-18 07:18:02,14.82381820678711,-86.59754180908203,world
101,sanmarino,সান মারিনো,435,39,57,2,1,9,2020-04-18 07:18:02,43.938133239746094,12.463393211364746,world
102,malta,মল্টা,422,3,91,9,0,10,2020-04-18 07:18:02,35.89055633544922,14.439536094665527,world
103,jordan,জর্ডন,407,7,295,45,0,6,2020-04-18 07:18:02,31.248191833496094,36.78810119628906,world
104,westbank,পশ্চিম তীর,402,2,69,7,0,107,2020-04-18 07:18:02,31.95216178894043,35.233154296875,world
105,runion,রিইউনিয়ন,402,0,237,0,0,8,2020-04-18 07:18:02,-21.13318634033203,55.53244400024414,world
106,taiwan,তাইওয়ান,397,6,178,23,0,2,2020-04-18 07:18:02,23.748992919921875,120.97128295898438,world
